char|kMandarin|kDefinition|kSimplifiedVariant|kTraditionalVariant|kSemanticVariant|kSpecializedSemanticVariant|kFrequency|kRSKangXi|kTotalStrokes|kFourCornerCode|kCangjie|kCangjieCh|kHanYu|kKangXi|kPhonetic|radical|hsk|rth|rthkeyword|rsh|rshkeyword
㪝|lian4|to beat, (same as 柬 揀) to select; to choose|||||||13||DWYE|木田卜水|21469.120|||NaN|||||
㪞|mao4|to be held by the hand, to resist; to oppose|||||||13||AUYE|日山卜水|21469.160|||NaN|||||
㪠|qian1|(same as U+9D6E 鵮) to peck, poverty; poor, things of the same value, to take; to fetch; to obtain, to select; to choose, (of a bird) to peck|||||||14||TCYE|廿金卜水|21471.100|||NaN|||||
㪡|kai4|to quell; to punish by force of arms, enemy; foe, to oppose; to resist|||||||14||JRYE|十口卜水|21471.130|||NaN|||||
㪢|shao3|(same as 捎) to beat; to strike; to attack, to be in full possession of; to grasp, to make selective collection or coverage of|||||||14||HEYE|竹水卜水|21471.080|||NaN|||||
㪣|xiao1|a place in Han dynasty, (same as U+6572 敲) to beat; to knock|||||||14||YBOK|卜月人大|21472.080|||NaN|||||
㪤|bi4|to finish; concluded|||||||15||WJOK|田十人大|21475.020|||NaN|||||
㪥|zha1|to take; to receive; fetch; to obtain; to take hold of, to press with fingers, use the fingers to show the distance|||||||15||YMYE|卜一卜水|21472.160|||NaN|||||
㪦|yin4|to beat; to pound; to ram down, to attack|||||||15||JCHE|十金竹水|21476.010|||NaN|||||
㪧|xi1|to beat; to strike; to attack|||||||16||OMYE|人一卜水|21476.180|||NaN|||||
㪨|shan4|to mend; to repair; to copy; to write out|||||||16||TRYE|廿口卜水|21477.030|||NaN|||||
㪩|su4|to strike; to beat, sound of beating|||||||16||LXYE|中難卜水|21478.040|||NaN|||||
㪪|sa4|to use a wooden pole to support something; to raise, to begin; to start|||||||16||MYYE|一卜卜水|21476.121|||NaN|||||
㪫|rui4|(corrupted form of 叡) wise and clever, shrewd, discreet, astute, quick of perception, the divine sagacity of sages|||||||18||YUYE|卜山卜水|21479.050|||NaN|||||
㪬|chuo1|to pierce; to stab; to hurt, to give; to hand over; to confer, to teach, to build, to pound (grain) in order to remove the husk|||||||18||SGYE|尸土卜水|21479.100|||NaN|||||
㪭|lu2|to draw together; to contract to fold, to collect; to gather, to hide; to conceal|||||||20||YTYE|卜廿卜水|21480.070|||NaN|||||
㪮|ling2|to beat; to attack; to strike|||||||21||MRYE|一口卜水|21480.170|||NaN|||||
㪯|cha2|(non-classical form of U+8209 舉) to lift; to raise; to commend; to praise, entire; whole|||舉||||7||YKQ|卜大手|32170.010||672 877A|NaN|||||
㪱|huan4|elegant; coloured|||||||13||YKNBK|卜大弓月大|32170.190|||NaN|||||
㪴|jia2|to measure; to estimate|||||||8||MUYJ|一山卜十|32252.050|||NaN|||||
㪵|ban4|half of a unit of measurement used in ancient times|||||||9||FQYJ|火手卜十|32252.080|||NaN|||||
㪶|hu2|(same as 斛) a dry measure 10 or 5 times that of a Chinese peck; a corn measure nominally holding ten pecks but generally holding about five, used in name of a place|||||||10||MAYJ|一日卜十|32252.090|||NaN|||||
㪷|dou3||||||||11||MTYJ|一廿卜十|32253.060|||NaN|||||
㪹|lou3|to rob; to loot; to plunder|||||||15||LVYJ|中女卜十|32256.040|||NaN|||||
㪺|ju1|to bale out; to decant liquids, to pour out liquor, a feast, a kind of utensil used to ladle out water|||||||17||KUYJ|大山卜十|32256.080|||NaN|||||
㪻|juan4|a kind of utensil used to ladle out wine, a container that gives a measurement of rice|||||||23||VFYJ|女火卜十|32256.130|||NaN|||||
㪼|ke3|to pull; to dray; to hinder; to santch away|||||||9||MRHML|一口竹一中|32024.020|||NaN|||||
㪽|suo3||||||||9||MAHL|一日竹中|32024.010|||NaN|||||
㪾|luo4|to cut the flesh from the bone; to scrape off; to pick out; to get rid of, to arrest; to catch to seize, to struggle; to fight; to conflict; to vie; to compete|||||||10||HRHML|竹口竹一中|32024.090|||NaN|||||
㪿|zhe2|to break; to snap; to bend; to bow down|||||||10||UUHML|山山竹一中||||NaN|||||
㫀|ding3|huge tripod of bronze with two ears; heavy three-legged caldron or sacrificial vessel regarded as a type of imperial power, the Empire, a kind of cooking utensil used in ancient times|||||||12||AAHML|日日竹一中|32026.070|||NaN|||||
㫁|duan4|(non-classical form of 斷) to cut apart, to sever, to break; broken; to abstain from, to conclude|||||||14||VUHML|女山竹一中|32027.040|||NaN|||||
㫂|zhu4|to chop or cut (wood)|||||||15||IFHML|戈火竹一中|32027.090|||NaN|||||
㫃|yan3|flags flying, long bands or ribbons attached to flags, streamers, etc. ( ancient form of 偃) to cease; to desist from|||偃||||6||YSO|卜尸人|32174.010|||NaN|||||
㫄|pang2|(same as 旁) side, by the side of; nearby|||||||8||MMPS|一一心尸|32176.010||373|NaN|||||
㫅|cha2|(same as 旗) a flag; a pennant; a banner; a streamer, a sign|||||||10||YSOML|卜尸人一中|32179.010|||NaN|||||
㫊|yi3|fluttering of the flag, the flags|||||||11||YSOMR|卜尸人一口|32180.020||487|NaN|||||
㫍|you2|the scallops along the lower edge of a flag; the hanging decorations (ribbons, etc.) of a flag used in ancient times, a kind of flag|||||||12||YSOOK|卜尸人人大|32183.090|||NaN|||||
㫎|hui1|(same as 徽 揮) mark; sign; indication; flags; pennants, streamers, etc., to prance, to brandish, to shake; to rattle, name of a flag|||幑ㄈ||||15||YSOBJ|卜尸人月十|32184.080|||NaN|||||
㫏|yao3|a kind of flag, flags; streamers|||||||15||YSOMV|卜尸人一女|32184.070|||NaN|||||
㫐|yao3|distant and indistinguishable|||||||6||AP|日心|21486.010|||NaN|||||
㫑|zhi3|(same as 旨) (non-classical form 時) purpose; will; intention; objective, good; excellent, a season; an era; time|||||||6||AKS|日大尸|21486.040|||NaN|||||
㫒|gong3|(same as 廾) hands joined, to support; to aid; to help, to lean upon|||||||7||AT|日廿|21487.030|||NaN|||||
㫓|qi3|(ancient form of 氣) air; vapor, breath, spirit; character, bearing; manner|||||||7||AON|日人弓|21487.120|||NaN|||||
㫔|gen4|(same as 艮) one of the Eight Diagrams for divination|||||||7||AYM|日卜一|21487.080|||NaN|||||
㫗|hou4|(same as 厚) thick, deep friendship, to treat kindly; generous|||||||7||AND|日弓木|21487.220|||NaN|||||
㫘|mi4|disappeared, not supported by, to avoid, unable to see|||||||8||MFA|一火日|21489.020|||NaN|||||
㫙|fu2|the sun|||||||8||AQO|日手人|21488.060|||NaN|||||
㫛|guang4|light; bright; brilliant, clear, intelligent; day dawn|||||||9||ARHU|日口竹山|21500.070|||NaN|||||
㫜|tan3|light; bright; brilliant, clear, intelligent; day dawn|||||||9||AAM|日日一|21499.110|||NaN|||||
㫝|di1|the sun|||||||9||AHVI|日竹女戈|21502.080|||NaN|||||
㫟|yan2|day after day; daily, time, moving of the sun|||||||9||AHNR|日竹弓口|21502.050|||NaN|||||
㫢|qu4||||||||9||AGI|日土戈|21499.020|||NaN|||||
㫤|chang3|(a variant of 昶) a long day, bright, extended, clear|||||||9||AMNE|日一弓水|21504.010|||NaN|||||
㫥|ming3|(non-classical form of 冥) dark; obscure; dim|||||||10||ANIR|日弓戈口|21508.170|||NaN|||||
㫦|tao1|of look of the sun, the look of the weather|||||||10||OLHA|人中竹日|10176.030|||NaN|||||
㫧|bao4|(non-classical form of 暴) violent; fierce; atrocious; cruel, sudden|||||||10||AFD|日火木|21509.040|||NaN|||||
㫨|an1||||||||10||AJV|日十女|21509.060|||NaN|||||
㫫|xian3|(non-classical form of 顯) clear; evident; eminent; prominent; renowned; famed; to expose; to make known|||||||10||AMTC|日一廿金|80022.220|||NaN|||||
㫯|mao4|in contravention of; to offend (a superior, elder, etc.) (same as 冒) incautious; rash; imprudent|||||||11||AAMU|日日一山|21512.110|||NaN|||||
㫰|lang4|light; bright; brilliant; clean; clever, to expose to sunlight, to dry something in an opening for ventilation area or a cool place|||||||11||AIAV|日戈日女|21514.090|||NaN|||||
㫱|nan3|mild, damp and moist, red color|||||||11||AGLC|日土中金|21510.060|||NaN|||||
㫲|bei4|dark; dull|||||||11||AJBD|日十月木|21511.030|||NaN|||||
㫳|chen2|(same as 晨) morning; daybreak|||||||11||MVA|一女日|21512.020|||NaN|||||
㫵|fei1|white color, (corrupted form of 腓) the calf of the legs|||||||12||ALMY|日中一卜|21518.040|||NaN|||||
㫶|zhou3|light; bright|||||||12||ASMB|日尸一月|21522.100|||NaN|||||
㫷|ji1|behind; the back of; afterwards; to come after (same as 期) period; time, to expect; to hope|||||||12||TCA|廿金日|21516.050|||NaN|||||
㫸|jie1|sunset|||||||12||AJLO|日十中人|21517.150|||NaN|||||
㫹|shu4|light; bright, warm, genial|||||||12||AHSL|日竹尸中|21519.050|||NaN|||||
㫻|kun4|sunlight|||||||12||AOMB|日人一月|21519.080|||NaN|||||
㫼|die2|(same as 晢) clear, bright; glorious; to be sharp and perspicacious; able to examine the tiniest things|||||||12||AHBN|日竹月弓|21518.140|||NaN|||||
㫽|lu4|darkness; the sun is dimmed|||||||12||AVNE|日女弓水|21522.140|||NaN|||||
㬂|yu2|used in person's name|||||||13||AWLB|日田中月|21523.100|||NaN|||||
㬃|tai2|sunrise|||||||13||AIRF|日戈口火|21527.070|||NaN|||||
㬄|chan4|warm and damp (moist; humid), a little warm|||||||13||AMGC|日一土金|21523.030|||NaN|||||
㬅|man4|(non-classical form of 曼) long, extended, large|||曼||||13||AWLS|日田中尸|21523.150|||NaN|||||
㬆|min3|(same as 湣) posthumous title conferred upon emperors and eminent officials|||||||13||ARPA|日口心日|21527.030|||NaN|||||
㬇|huan4|name of a state in ancient China, sharp, bright-colored; brightness; bright; radiance; light|||||||13||ANBK|日弓月大|21525.030|||NaN|||||
㬈|wen1|the sun was shining and it's warm|||||||13||AABT|日日月廿|21523.120 21530.060|||NaN|||||
㬉|nuan3|(a variant of 暖) warm, genial, of weather, soft and tender, pleasant and genial|||||||13||AMBK|日一月大|21523.050||1631|NaN|||||
㬊|huan4|light; bright, clear, intelligent; clever|||||||13||ABME|日月一水|21524.020|||NaN|||||
㬋|hou2|name of a star|||||||13||AONK|日人弓大|21523.170||446*|NaN|||||
㬌|jing4|sunshine; sunlight|||||||13||AYAF|日卜日火|21526.030|||NaN|||||
㬍|bo2|fierce; cruel, sudden, a scorching heat|||||||14||AIBI|日戈月戈|21529.030|||NaN|||||
㬎|xian3|(an ancient form of 顯) motes in a sunbeam, bright, fibrous, to manifest; to display, to be illustrious, evident, to seem; to appear, cocoons; chrysalis, will not have a pleasant conversation|||||||14||AVIF|日女戈火|21531.140||470|NaN|||||
㬏|li4|light; bright, clear, intelligent; clever|||||||14||AMRB|日一口月|21529.040|||NaN|||||
㬐|jin4|(same as 晉) a state during the period of Spring and Autumn, (same as 鄑) name of a place in today's Shandong Province|||||||14||AMIA|日一戈日|21529.070|||NaN|||||
㬒|mang3|the sun are dimmed; darkness|||||||15||ATIT|日廿戈廿|21535.080|||NaN|||||
㬓|piao4|to expose to sunlight; to sun|||||||15||AMWF|日一田火|21534.060|||NaN|||||
㬔|hao2|to defy; to disobey; to disregard, to contradict, perverse; recalcitrant; irregular; abnormal|||||||15||ASMH|日尸一竹|21534.200|||NaN|||||
㬕|yang2|(corrupted form) light; bright, clear|||||||15||AIFQ|日戈火手|21532.040|||NaN|||||
㬗|xian4|(same as 晛) sunshine; light; bright, warm; genial (weather), very hot|||||||16||ABKF|日月大火|21537.060|||NaN|||||
㬘|su4|arid; dry; parched, impatient; restless, fierce; cruel, sudden, a scorching heat|||||||16||ALX|日中難|21539.030|||NaN|||||
㬙|wei3|sunshine; light of the sun|||||||16||AIKF|日戈大火|21536.130|||NaN|||||
㬚|che4|light; bright, clear|||||||16||AYBK|日卜月大|21537.100|||NaN|||||
㬛|xi1|to dry in the sun|||||||16||AORM|日人口一|21536.140|||NaN|||||
㬜|jin4|(same as 晉) to advance; to increase; to flourish|||||||16||MGA|一土日|21536.050|||NaN|||||
㬝|ceng2|obscure; not bright; poor visibility, white; clear; bright; pure; plain|||||||16||ACWA|日金田日|21536.150|||NaN|||||
㬞|he4|(non-classical form of 暍) sunstroke, hot; feverish|||||||16||AUAV|日山日女|21536.100|||NaN|||||
㬟|fen1|(a dialect), an adverb, negative expression; never before; to have not happened before|||||||16||PHCWA|心竹金田日|21537.040|||NaN|||||
㬠|shai4|(non-classical form of 曬) to expose to sunlight; to dry in the sun (interchangeable 煞) very; much; extremely; a fierce god; a malignant deity, to conclude|||||||17||ANKF|日弓大火|21538.210||1110|NaN|||||
㬡|ling2|(same as 昤) sunshine; light of the sun|||||||17||AMBI|日一月戈|21538.010|||NaN|||||
㬣|dui4|luxuriant; exuberant; lush; flourishing|||||||18||ATGI|日廿土戈|21539.120|||NaN|||||
㬤|qi1|wet clothes not completely dry; to dry in the sun or use sand to dry up on the ground|||||||18||AAVF|日日女火|21539.130|||NaN|||||
㬥|pu4|(an ancient form of 曝) to sun to air; to expose to sunlight, to expose or be exposed; exposure, a tree with scatter or dispersed leaves|||||||18||AUUD|日山山木|21540.040|||NaN|||||
㬦|yue4|brave; courageous; bold; valiant; intrepid; fearless; heroic|||||||18||ATOE|日廿人水|21539.070|||NaN|||||
㬧|bo2|(standard form) a collar, the neck, to connect collars to the clothes|||||||18||AUUF|日山山火||||NaN|||||
㬩|hui4|a tiny star, numerous stars|||||||19||AQJP|日手十心|21540.080|||NaN|||||
㬪|die2|(a variant of 疊) to fold up, to repeat, to duplicate|||||||19||AAAM|日日日一|21541.030|||NaN|||||
㬫|yan4|clear sky, a fine day|||||||20||TFA|廿火日|21541.110|||NaN|||||
㬬|ju4|a family name|||||||22||ABUG|日月山土|21542.090|||NaN|||||
㬭|jiao4|(same as, non-classical form of 皭) pure white; clean; bright, usually used for person's name in ancient times|||||||22||ABWI|日月田戈|21542.030|||NaN|||||
㬮|nan4|gentle; mild; temperate, tender; loving; caressing|||||||23||ATOG|日廿人土|21542.130|||NaN|||||
㬯|lie4|sunset|||||||25||AYNQ|日卜弓手|21543.010|||NaN|||||
㬰|yu2|(non-classical form of 臾) a moment; an instant; a little while; a short time|||||||6||LWO|中田人|21485.020|||NaN|||||
㬱|ti4|(same as 替) to replace; to substitute; to decay; to decline, (a variant 朁) if, supposing, nevertheless|||朁||||16||HUA|竹山日|21536.110|||NaN|||||
㬲|tian1|to increase; to add to; to augment, to a greater extent; more, benefit; profit; advantage|||||||17||MKTCT|一大廿金廿|42571.070|||NaN|||||
㬳|wu3|light; bright, clear|||||||8||BOJ|月人十|32049.040|||NaN|||||
㬴|hong3|the moon is dimmed; darkness; the word used especially by Triad Society (三合會) a secret society during the Ching Dynasty dedicated to the overthrow of the Manchus and the restoration the Ming Dynasty|||||||10||BTC|月廿金|32066.070|||NaN|||||
㬵|xiao2|the shinbone, or tibia, (same as 交) to intersect, the sun and the moon in the sky, (simpfied form 膠) glue; gum, resin; sap, anything sticky|||||||10||BYCK|月卜金大||||NaN|||||
㬶|hao4|flesh; meat of animals, (same as 浩) great; vast, many; much|||||||11||BHQR|月竹手口|32078.090|||NaN|||||
㬸|tiao1|a kind of services or ceremonies of offering sacrifices|||||||12||BTOP|月廿人心|32084.070|||NaN|||||
㬻|huang1|in between of the flesh, a state of a minority ethnic group in southern China, the moon is dimmed|||||||14||BTYU|月廿卜山|32100.120|||NaN|||||
㬼|fu4|to have; to be present; to exist; there is|||||||15||KBOAE|大月人日水|32106.170|||NaN|||||
㬿|tun1|moonlight|||||||16||BYDK|月卜木大|32113.030|||NaN|||||
㭁|reng2|a kind of tree, a kind of lumber used to stop a carriage|||||||6||DNHS|木弓竹尸|21156.070|||NaN|||||
㭂|jiao3|height of the end-point; the tip of a small branch; (Cant.) slender, thin|||||||7||DF|木火|21160.030|||NaN|||||
㭄|xin4|a king of tree|||||||7||DNJ|木弓十|21162.010|||NaN|||||
㭇|yuan4|a kind of tree, (corrupted form of 杬) a kind of plant; (non-classical form 欖) the olive tree|||||||8||DIHU|木戈竹山|21176.030|||NaN|||||
㭈|jue2|a basin; a bowl|||||||8||DDK|木木大|21175.050|||NaN|||||
㭉|hua2|farm tools; a spade or shovel|||||||8||TD|廿木|21164.060|||NaN|||||
㭋|bang4|(same as 棒) a club; a stick, to hit with a club, good; strong; wonderful|||||||8||DQJ|木手十|21163.060|||NaN|||||
㭌|mou2|(same as 桙) a basin; a bathtub, a kind of tool or utensil, (interchangeable 模) form or shape of a thing; style; pattern; appearance; look, a sample|||||||8||DHQ|木竹手|21170.090|||NaN|||||
㭎|gang1|(simplified form of 棡) a tall tree; a large tree, (interchangeable 扛) to carry on the shoulders of two of more men||棡|||||8||DBK|木月大|21170.030|||NaN|||||
㭏|wei3|(simplified form of 椲) a kind of wood (used as a kind of material to make basin and bowl, etc.); (same as 楎) a peg for hanging things on, a clothes-horse||椲|||||8||DQS|木手尸||||NaN|||||
㭑|mei4|a kind of tree|||||||9||DJD|木十木|21176.060|||NaN|||||
㭒|si4|(same as non-classical form 耜) a farming instrument; a spade; a shovel|||||||9||DRLR|木口中口|21183.070|||NaN|||||
㭓|bian4|a pillar arch|||||||9||DIT|木戈廿|21191.050|||NaN|||||
㭔|lu2|a kind of tree|||||||9||DHFD|木竹火木|21186.060|||NaN|||||
㭕|qu1|a board (on the back of a donkey) for carrying things; saddle|||||||9||DGI|木土戈|21177.010|||NaN|||||
㭘|ge2|a scabbard; a sheath; a case for sword, a tree like the acacia|||||||10||DOMR|木人一口|21202.060|||NaN|||||
㭙|zhe2|a hammer|||||||10||DGDI|木土木戈|21194.010|||NaN|||||
㭚|lü3|a kind of tree, a tray for carrying sacrificial meats and wine|||||||10||DOHV|木人竹女|21200.060|||NaN|||||
㭛|pai4|a kind of climbing plants; rattan; bark can be used to weave cloth, a component parts of a loom|||||||10||DHHV|木竹竹女|21201.100|||NaN|||||
㭜|rong2|a kind of tree (like locust tree; similar to the ash; acacia)|||||||10||DIJ|木戈十|21193.040|||NaN|||||
㭝|qiu2|name of a pavilion, in Xinshi, name of a place in Jingling|||||||10||DDKN|木木大弓|21195.050|||NaN|||||
㭞|lie4|a kind inferior wood|||||||10||DFHS|木火竹尸|21198.030|||NaN|||||
㭟|gong3|torture used in ancient times|||||||10||TCD|廿金木|21195.040|||NaN|||||
㭠|xian3||||||||10||DHGU|木竹土山|21200.010|||NaN|||||
㭡|xi4|name of a mountain, a component parts of a loom|||||||10||DHWK|木竹田大|21201.080|||NaN|||||
㭢|xin1|mechanics, opportunity, urgent|||||||10||DMTN|木一廿弓|21193.030|||NaN|||||
㭤|niao3|(simplified form) (same as 蔦) the convolvulus; a kind of creeping plant, partridge; francolin, in Japan, the pole out side of a building used to post the public notice||樢|||||10||DPYM|木心卜一||||NaN|||||
㭨|xie2|(same as U+6930 椰) the cocoa-nut palm|||椰||||11||DMHL|木一竹中|21197.060||98|NaN|||||
㭩|lie4|a kind of tree can be used as dye-stuff, the mast of a boat|||||||11||DBDI|木月木戈|21218.070|||NaN|||||
㭪|fu1|a shrub (plant); dense growth of trees|||||||11||DIJB|木戈十月|21210.100|||NaN|||||
㭫|cuo2|a fruit tree ( plum), (same as 菆) hemp stalks, a mat|||||||11||DOOG|木人人土|21217.050|||NaN|||||
㭬|zhuo2|(corrupted form of 椓) to beat; to tap; to thrash, castration as a punishment in ancient times, a castrate man, to accuse or charge|||||||11||DMSO|木一尸人|21212.060|||NaN|||||
㭭|ba1|a kind of tree, a harrow; a drag, a written contract or agreement; a bond; a deed, handles of spears or lances used in ancient times|||||||11||DRSN|木口尸弓|21214.080|||NaN|||||
㭮|zuo4|(corrupted form of 桚) a kind of liquor container, to squeeze; to press, an instrument of torture for squeezing the fingers of prisoners or witnesses in order to extort evidence or confession|||||||11||DVVN|木女女弓|21222.080||27|NaN|||||
㭯|zhe2|tree with small leaves, mushroom; fungus, mould, ror mildew|||||||11||DSJU|木尸十山|21210.040|||NaN|||||
㭰|zui1|to know; to recognize, to hide; to conceal, (same as 嘴) beak (of a bird), stone probe|||||||11||YPDB|卜心木月|21443.140|||NaN|||||
㭱|he2|(same as 匣) a case; a small box|||||||11||DSWL|木尸田中|21210.110|||NaN|||||
㭲|ji2|(same as 极) a wooden frame (on the back of a donkey) for carrying things, (simplified form of 極) to exhaust, extreme; highest; topmost|||||||11||DCOR|木金人口|21217.070|||NaN|||||
㭴|jian1|(simplified form) the oscines||樫|||||11||DLEG|木中水土||||NaN|||||
㭸|tu2|(same as 梌) the branches to spread out in all directions, the catalpa; a kind of hard wood used for making chessboard|||||||12||DNAI|木弓日戈|21242.020|||NaN|||||
㭹|xian2|name of a county in today's Shandong Province, a kind of fabric produced in Donglai|||||||12||DNYI|木弓卜戈|21240.070|||NaN|||||
㭺|yan3|the cherry-apple, a kind of tree|||||||12||DKLU|木大中山|21228.100|||NaN|||||
㭻|tang2|(same as 棠) the crab-apple; the wild plum|||||||12||DFBR|木火月口|21231.060|||NaN|||||
㭼|ta4|a rectangle shaped peg or short post between the beans and the roof timbers; the square peck-shaped box half-way up a Chinese flagstaff|||||||12||DEA|木水日|21232.090|||NaN|||||
㭽|di3|(non-classical form of 柢) root; foundation; base, eaves of a house; brim|||||||12||DIHI|木戈竹戈|21236.140|||NaN|||||
㭾|jue2|to cut the timber apart; to cut a tree; (Cant.) to blunt|||||||12||DSUU|木尸山山|21240.050|||NaN|||||
㭿|ang2|oblique angle, a post to tie cattle and horses to|||||||12||DAHL|木日竹中|21232.050|||NaN|||||
㮀|han2|tool to clear out ( as a drain) the water, (same as 函) a case; a small box|||||||12||DNUE|木弓山水|21242.010|||NaN|||||
㮁|xiao2|gardenia; a plant of which the nuts produces a yellow dye|||||||12||DKKB|木大大月|21235.040|||NaN|||||
㮂|ju2|an appliance used to lift food; something like a narrow, long table, to carry; to transport|||||||12||BUKD|月山大木|21231.100|||NaN|||||
㮃|wei1|farm tool, (same as 桵) a kind of tree|||||||12||DHDV|木竹木女|21233.050|||NaN|||||
㮄|bang3|(non-classical form of 榜) publicly posted roll of successful examinees|||||||12||DMMS|木一一尸|21237.040|||NaN|||||
㮅|zhui1|a kind of tree|||||||12||DOG|木人土|21234.010|||NaN|||||
㮆|nie4|(an ancient form) (same as 瓾) eaves sprouting from the stump of a tree; shoots from an old stump, a large (a species of oak) from the bark of which a yellow dye is produced|||||||12||DOTQ|木人廿手|21235.070|||NaN|||||
㮇|tian4|(standard form of 掭) (same as 栝) a builder's frame for measuring, juniper, a poker (for stirring fire, a cylinder part on the old style of wooden doors|||||||12||DMKP|木一大心|21223.040|||NaN|||||
㮈|nai4|(non-classical form of 奈) but; how; what, a remedy; a resource, to bear, to endure|||||||12||DKMF|木大一火|21228.081|||NaN|||||
㮋|you3|(non-classical form of 栯) a kind of tree, a fruit tree|||||||13||DKBL|木大月中|21228.070|||NaN|||||
㮌|mian2|(same as U+68C9 棉) cotton; (Cant.) a kind of fruit|||||||13||DMWL|木一田中|21246.060|||NaN|||||
㮏|nai4|(same as 柰) a fruit tree; a crab-apple, for which the second from is strictly used, leaves sprouting from the stump of a tree; shoots from an old stump|||||||13||DDMF|木木一火|21244.040 80020.040|||NaN|||||
㮐|sheng3|a rack or a stand with three sticks to cross each other, a chopping board|||||||13||DFHU|木火竹山|21248.020|||NaN|||||
㮑|cha1|sound of broken sticks; crack of a wooden stick, a forest; wooded land|||||||13||DHJX|木竹十難|21251.040|||NaN|||||
㮒|yan1|wood, (same as 禋) to worship with sincerity and reverence, to offer sacrifices to the Heaven|||||||13||DMWG|木一田土|21245.070|||NaN|||||
㮓|gen4|(same as 亙 堥) an extreme limit, to fill, universal, connected, revolve|||||||13||DPMM|木心一一|21255.070|||NaN|||||
㮔|chong4|vegetable, (non-classical, abbreviated from, same as 橦) a tree which grows in Yunnan, from the flowers of which a cloth is made|||||||13||DHJG|木竹十土|21251.020|||NaN|||||
㮕|ruan3|fruit, plant, (same as 檽) a fruit tree; black date|||||||13||DMBK|木一月大|21246.070|||NaN|||||
㮖|jia2|to lay; to put, drums, to rap, to quiver, to stir up|||||||13||DTLJ|木廿中十|21243.040|||NaN|||||
㮗|qin2|(same as 矜) the handle of a spear|||||||13||NND|弓弓木|21258.090|||NaN|||||
㮘|mao2|a tree; winter peach|||||||13||DNHK|木弓竹大|21258.070|||NaN|||||
㮙|e4|a pitfall; a hole|||||||13||DRRS|木口口尸|21250.040|||NaN|||||
㮚|li4|(an ancient form of 栗) the chestnut tree, a kind of metalwork in ancient times|||||||13||YWD|卜田木|21247.040|||NaN|||||
㮛|chi2|(same as 匙) a spoon, (same as 椸) (a dialect) a small table in front of the bed, a rack for clothes; a clothes-horse|||||||13||DAMO|木日一人|21249.020|||NaN|||||
㮜|zang1|a blocks engraved for holding things|||||||13||DSVG|木尸女土|21246.120|||NaN|||||
㮝|he2|angle steel, legs of a table|||||||13||DCRL|木金口中|21253.040|||NaN|||||
㮞|jie2|the square peck-shaped box half-way up a Chinese flagstaff|||||||13||DIOR|木戈人口|21254.160|||NaN|||||
㮟|nian3|a whetstone, (a dialect) a corner; a nook; a crack; an opening; a cleft|||||||13||DMRD|木一口木|21246.050|||NaN|||||
㮡|guan4|(same as 爟) to light a fire; to set fire to|||||||13||FSD|火尸木|21238.040|||NaN|||||
㮢|hou2|fruit|||||||13||DONK|木人弓大|21254.011|||NaN|||||
㮣|gai4|(a variant of 概) a piece of wood used to strike off grain in a measure, thus:--all, to level, to adjust, generally, for the most part, (interchangeable 慨) emotional excitement, (interchangeable 溉) to wash; to cleanse; to rinse|||槩槪||||13||AUD|日山木|21257.010|||NaN|||||
㮥|ben4|sails, the mat-covering of small boats, (interchangeable 軬) the covering of a carriage|||||||14||DIKW|木戈大田|21271.100|||NaN|||||
㮦|suo3|branches growing upwards, the tip of a branch or things of similar shape, (interchangeable 索) to importune|||||||14||DJBF|木十月火|21262.030|||NaN|||||
㮧|wu1|a tree, a fruit|||||||14||DHRF|木竹口火|21266.080|||NaN|||||
㮨|ji4|Codium macronatum|||||||14||DWCE|木田金水|21264.010|||NaN|||||
㮩|xi1|a tree|||||||14||DHUP|木竹山心|21265.020|||NaN|||||
㮪|qiong2|a small boat|||||||14||DMND|木一弓木|21260.090|||NaN|||||
㮫|he2|a wooden article to be used to adjust a bow, a tiger shaped wooden article used to stop the music in ancient times|||||||14||DJQR|木十手口|21270.040|||NaN|||||
㮬|weng1|a fruit tree|||||||14||DCIM|木金戈一|21266.060|||NaN|||||
㮭|xian2|(same as 椷) a casket; a box; a bowl; a cup, to allow, an envelope|||||||14||DNIW|木弓戈田|21271.140|||NaN|||||
㮮|jie2|a well sweep|||||||14||DQHQ|木手竹手|21259.040|||NaN|||||
㮯|hun2|whole (uncut, unsplit) firewood; complete, whole, undamaged, general; (same as 梡) a kind of tree|||||||14||DWMO|木田一人|21264.030|||NaN|||||
㮰|pi2|the small beam supporting the rafters at the eaves|||||||14||DHWP|木竹田心|21265.030|||NaN|||||
㮱|shen1|(said of grass, trees, vegetation and flora), (non-classical form of 森) luxuriant; exuberant; lush; flourishing|||||||14||DTHU|木廿竹山|21261.050|||NaN|||||
㮲|chou1|a small ring or a small piece of board attached to the muzzle of an ox; to thread through a halter|||||||14||DPUU|木心山山|21267.060|||NaN|||||
㮳|zhen4|a tree, (same as 栚) a piece of cross-wise board used for frame on which silkworms spin|||||||14||DBTK|木月廿大|21266.070|||NaN|||||
㮵|zhan1|common sandalwood|||||||14||DYSY|木卜尸卜|21268.090|||NaN|||||
㮶|shuo4|(same as 槊) a tree, a fence; a palisade; a railing|||||||14||DTUB|木廿山月|21269.050|||NaN|||||
㮷|ji1|a tree (as maple tree)|||||||14||DIUA|木戈山日|21263.060|||NaN|||||
㮸|song4|(corrupted form of 送) to send; to deliver; to present; to give, to send off|||||||14||DYTK|木卜廿大|21269.040|||NaN|||||
